tabla,alcance,codigo,codigo_padded,largo_campo_txt,descripcion,filtro_padre
"MODALIDAD_LIQUIDACION","global","1","1",1,"MES",""
"MODALIDAD_LIQUIDACION","global","2","2",1,"QUINCENA",""
"MODALIDAD_LIQUIDACION","global","3","3",1,"SEMANA",""
"MODALIDAD_LIQUIDACION","global","4","4",1,"DÍA",""
"MODALIDAD_LIQUIDACION","global","5","5",1,"HORA",""
"MODALIDAD_LIQUIDACION","global","6","6",1,"PIEZA",""
"MODALIDAD_LIQUIDACION","global","7","7",1,"A COMISIÓN",""
"MODALIDAD_LIQUIDACION","global","8","8",1,"JORNAL",""
"SITUACION_REVISTA","global","01","01",2,"Activo",""
"SITUACION_REVISTA","global","03","03",2,"Activo Decreto N°796/97",""
"SITUACION_REVISTA","global","05","05",2,"Licencia por maternidad",""
"SITUACION_REVISTA","global","06","06",2,"Suspensiones otras causales",""
"SITUACION_REVISTA","global","09","09",2,"Suspendido.Ley 20744 Art. 223 Bis",""
"SITUACION_REVISTA","global","10","10",2,"Licencia por excedencia",""
"SITUACION_REVISTA","global","11","11",2,"Licencia por maternidad Down",""
"SITUACION_REVISTA","global","12","12",2,"Licencia por vacaciones",""
"SITUACION_REVISTA","global","13","13",2,"Licencia sin goce de haberes",""
"SITUACION_REVISTA","global","14","14",2,"Reserva de puesto",""
"SITUACION_REVISTA","global","15","15",2,"E.S.E.Cese transitorio de servicios",""
"SITUACION_REVISTA","global","16","16",2,"Personal siniestrado de terceros",""
"SITUACION_REVISTA","global","17","17",2,"Reingreso por disposición judicial",""
"SITUACION_REVISTA","global","42","42",2,"Empleado eventual en EU (para uso de la ESE) mes completo",""
"SITUACION_REVISTA","global","43","43",2,"Empleado eventual en EU (para uso de la ESE) mes incompleto",""
"SITUACION_REVISTA","global","44","44",2,"Conservación del empleo P/accidente o enfermedad inculpable",""
"SITUACION_REVISTA","global","45","45",2,"Suspensiones por causas disciplinarias",""
"SITUACION_REVISTA","global","48","48",2,"Suspendido. Res. 397/2020 MTEySS c/Aportes OS",""
"SITUACION_REVISTA","global","49","49",2,"Susp. período parcial L 20744 art.223bis / Res. 397 MTEySS",""
"SITUACION_REVISTA","global","50","50",2,"Dto 792/20 - Mayores 60 años, embarazadas, grupo de riesgo",""
"SITUACION_REVISTA","global","51","51",2,"Licencia Ley 27.674 Art. 13 - Régimen De Protección Integral Del Niño, Niña y Adolescente Con Cáncer",""
"SITUACION_REVISTA","global","90","90",2,"Pre-SIJP (Anterior a 07/1994)",""
"SITUACION_REVISTA","global","98","98",2,"Código de situación p/datos complementarios ANSeS anteriores a 09/2002 inclusive",""
"MODALIDAD_CONTRATACION","global","000","000",3,"Contrato Modalidad Promovida.Reducción 0%",""
"MODALIDAD_CONTRATACION","global","001","001",3,"A tiempo parcial: Indeterminado/permanente",""
"MODALIDAD_CONTRATACION","global","002","002",3,"Becarios-Residencias médicas Ley 22127",""
"MODALIDAD_CONTRATACION","global","003","003",3,"De aprendizaje Ley 25013",""
"MODALIDAD_CONTRATACION","global","004","004",3,"Especial de Fomento del Empleo: L.24465",""
"MODALIDAD_CONTRATACION","global","005","005",3,"Fomento del empleo. L.24013 y 24465",""
"MODALIDAD_CONTRATACION","global","006","006",3,"Lanzamiento nueva actividad. Idem 005",""
"MODALIDAD_CONTRATACION","global","007","007",3,"Período de prueba. Leyes 24465 y 25013",""
"MODALIDAD_CONTRATACION","global","008","008",3,"A tiempo completo indeterminado/Trabajo permanente",""
"MODALIDAD_CONTRATACION","global","009","009",3,"Práctica laboral para jovenes",""
"MODALIDAD_CONTRATACION","global","010","010",3,"Práctica profesionalizante - Dcto. 1374/11 - Pasantía sin obra social",""
"MODALIDAD_CONTRATACION","global","011","011",3,"Trabajo de temporada",""
"MODALIDAD_CONTRATACION","global","012","012",3,"Trabajo eventual",""
"MODALIDAD_CONTRATACION","global","013","013",3,"Trabajo formación",""
"MODALIDAD_CONTRATACION","global","014","014",3,"Nuevo período de prueba",""
"MODALIDAD_CONTRATACION","global","015","015",3,"Puesto nuevo varones y mujeres de 25 a 44 años",""
